time,vertical
36.353,2.46E-02
36.387,2.90E-02
36.421,3.35E-02
36.455,3.70E-02
36.488,3.99E-02
36.522,4.24E-02
36.556,4.40E-02
36.59,4.48E-02
36.623,4.50E-02
36.657,4.46E-02
36.691,4.34E-02
36.725,4.11E-02
36.758,3.84E-02
36.792,3.46E-02
36.826,3.09E-02
36.86,2.63E-02
36.893,2.13E-02
36.927,1.60E-02
36.961,1.07E-02
36.995,4.80E-03
37.028,-6.16E-04
37.062,-6.56E-03
37.096,-1.19E-02
37.13,-1.69E-02
37.163,-2.18E-02
37.197,-2.62E-02
37.231,-3.03E-02
37.265,-3.37E-02
37.298,-3.64E-02
37.332,-3.86E-02
37.366,-4.02E-02
37.4,-4.12E-02
37.433,-4.14E-02
37.467,-4.11E-02
37.501,-4.01E-02
37.535,-3.81E-02
37.569,-3.54E-02
37.602,-3.24E-02
37.636,-2.87E-02
37.67,-2.41E-02
37.704,-1.94E-02
37.737,-1.44E-02
37.771,-9.18E-03
37.805,-3.76E-03
37.839,2.27E-03
37.872,7.69E-03
37.906,1.32E-02
37.94,1.83E-02
37.974,2.32E-02
38.007,2.77E-02
38.041,3.18E-02
38.075,3.55E-02
38.109,3.84E-02
38.142,4.08E-02
38.176,4.26E-02
38.21,4.36E-02
38.244,4.37E-02
38.277,4.33E-02
38.311,4.24E-02
38.345,4.03E-02
38.379,3.77E-02
38.412,3.44E-02
38.446,3.04E-02
38.48,2.61E-02
38.514,2.17E-02
38.547,1.68E-02
38.581,1.14E-02
38.615,5.75E-03
38.649,4.85E-04
38.682,-4.66E-03
38.716,-9.93E-03
38.75,-1.49E-02
38.784,-1.95E-02
38.817,-2.39E-02
38.851,-2.77E-02
38.885,-3.07E-02
38.919,-3.36E-02
38.952,-3.54E-02
38.986,-3.69E-02
39.02,-3.77E-02
39.054,-3.81E-02
39.087,-3.78E-02
39.121,-3.71E-02
39.155,-3.51E-02
39.189,-3.28E-02
39.222,-3.01E-02
39.256,-2.64E-02
39.29,-2.23E-02
39.324,-1.82E-02
39.357,-1.33E-02
39.391,-8.32E-03
39.425,-2.97E-03
39.459,2.31E-03
39.492,7.60E-03
39.526,1.27E-02
39.56,1.79E-02
39.594,2.26E-02
39.628,2.69E-02
39.661,3.10E-02
39.695,3.43E-02
39.729,3.70E-02
39.763,3.92E-02
39.796,4.06E-02
39.83,4.15E-02
39.864,4.17E-02
39.898,4.13E-02
39.931,4.05E-02
39.965,3.86E-02
39.999,3.61E-02
40.033,3.27E-02
40.066,2.92E-02
40.1,2.53E-02
40.134,2.09E-02
40.168,1.60E-02
40.201,1.10E-02
40.235,5.79E-03
40.269,4.02E-04
40.303,-4.58E-03
40.336,-9.66E-03
40.37,-1.44E-02
40.404,-1.88E-02
40.438,-2.30E-02
40.471,-2.65E-02
40.505,-2.95E-02
40.539,-3.22E-02
40.573,-3.42E-02
40.606,-3.56E-02
40.64,-3.64E-02
40.674,-3.67E-02
40.708,-3.65E-02
40.741,-3.56E-02
40.775,-3.38E-02
